,OriginalZip,CalendarYearIssued,Issuedmonth,NewConstructionsCount,RemodelRepairsCount,NewConstructionDollarValue,RemodelRepairDollarValue
0,78613,2017,6,0,2,0,10000
1,78617,1996,2,26,0,1593190,0
2,78617,1996,3,6,0,369000,0
3,78617,1996,4,4,1,240000,500
4,78617,1996,5,9,2,613800,1000
5,78617,1996,6,5,0,356000,0
6,78617,1996,7,13,0,934000,0
7,78617,1996,8,7,0,492000,0
8,78617,1996,9,1,0,70000,0
9,78617,1996,10,3,0,210000,0
10,78617,1996,11,3,1,210000,100
11,78617,1996,12,1,0,70000,0
12,78617,1997,1,2,0,140000,0
13,78617,1997,2,1,0,70000,0
14,78617,1997,4,7,1,490000,650
15,78617,1997,5,10,0,581100,0
16,78617,1997,6,10,4,602471,0
17,78617,1997,7,0,1,0,0
18,78617,1997,8,8,0,436933,0
19,78617,1997,9,7,0,294282,0
20,78617,1997,10,2,0,139323,0
21,78617,1997,11,6,0,353016,0
22,78617,1997,12,4,0,348488,0
23,78617,1998,1,0,2,0,1500
24,78617,1998,2,1,3,76232,35100
25,78617,1998,3,6,12,338386,10100
26,78617,1998,4,10,2,415399,500
27,78617,1998,5,7,3,372468,0
28,78617,1998,6,5,4,361961,0
29,78617,1998,7,8,2,449467,500
30,78617,1998,8,0,1,0,0
31,78617,1998,9,2,0,104000,0
32,78617,1998,11,2,1,170883,500
33,78617,1998,12,5,0,283000,0
34,78617,1999,1,7,0,430001,0
35,78617,1999,2,5,0,373000,0
36,78617,1999,3,15,0,737705,0
37,78617,1999,4,14,0,961600,0
38,78617,1999,5,6,0,366963,0
39,78617,1999,6,2,0,114534,0
40,78617,1999,8,1,0,61000,0
41,78617,1999,9,3,0,57594,0
42,78617,1999,11,0,2,0,1000
43,78617,2000,3,0,1,0,1200
44,78617,2000,4,6,1,420000,500
45,78617,2000,5,0,1,0,500
46,78617,2000,6,1,0,39000,0
47,78617,2000,7,0,1,0,500
48,78617,2000,8,6,0,420000,0
49,78617,2000,9,10,0,700000,0
50,78617,2000,10,4,1,280000,500
51,78617,2000,11,14,0,910000,0
52,78617,2000,12,8,0,560000,0
53,78617,2001,1,17,0,1190000,0
54,78617,2001,2,4,0,280000,0
55,78617,2001,3,4,0,280000,0
56,78617,2001,4,11,1,724500,500
57,78617,2001,5,15,2,1050000,1000
58,78617,2001,6,2,1,140000,500
59,78617,2001,8,7,0,490000,0
60,78617,2001,9,0,9,0,0
61,78617,2001,10,0,8,0,0
62,78617,2001,11,0,1,0,0
63,78617,2001,12,0,1,0,0
64,78617,2002,1,0,22,0,0
65,78617,2002,2,1,17,70000,0
66,78617,2002,3,0,16,0,0
67,78617,2002,4,1,27,70000,0
68,78617,2002,5,1,9,28500,0
69,78617,2002,6,0,22,0,3000
70,78617,2002,7,0,25,0,500
71,78617,2002,8,0,26,0,0
72,78617,2002,9,0,20,0,3517
73,78617,2002,10,1,3,45900,0
74,78617,2002,11,0,14,0,0
75,78617,2002,12,0,11,0,0
76,78617,2003,1,20,6,1392000,0
77,78617,2003,2,2,7,140000,0
78,78617,2003,3,8,10,560000,0
79,78617,2003,4,3,8,210000,28526
80,78617,2003,5,7,13,490000,0
81,78617,2003,6,6,4,420000,0
82,78617,2003,7,11,0,770000,0
83,78617,2003,8,4,1,280000,0
84,78617,2003,9,0,1,0,0
85,78617,2004,1,0,2,0,21000
86,78617,2004,3,21,0,1588566,0
87,78617,2004,4,15,1,1019910,0
88,78617,2004,5,4,0,280000,0
89,78617,2004,6,18,0,1537000,0
90,78617,2004,7,8,3,629000,0
91,78617,2004,8,15,5,1015221,1500
92,78617,2004,9,11,2,725002,11124
93,78617,2004,10,20,0,1461371,0
94,78617,2004,11,9,0,591178,0
95,78617,2004,12,5,0,440000,0
96,78617,2005,1,25,2,2027672,15100
97,78617,2005,2,22,0,1674745,0
