,Mortgage Rate,year,month
0,4.06,2018,5
1,4.02,2018,4
2,3.9,2018,3
3,3.85,2018,2
4,3.62,2018,1
5,3.44,2017,12
6,3.3,2017,11
7,3.25,2017,10
8,3.13,2017,9
9,3.12,2017,8
10,3.2,2017,7
11,3.17,2017,6
12,3.19,2017,5
13,3.27,2017,4
14,3.39,2017,3
15,3.37,2017,2
16,3.4,2017,1
17,3.55,2016,12
18,3.25,2016,11
19,2.78,2016,10
20,2.72,2016,9
21,2.74,2016,8
22,2.78,2016,7
23,2.78,2016,6
24,2.89,2016,5
25,2.89,2016,4
26,2.98,2016,3
27,2.93,2016,2
28,3.07,2016,1
29,3.24,2015,12
30,3.18,2015,11
31,2.98,2015,10
32,3.08,2015,9
33,3.06,2015,8
34,3.17,2015,7
35,3.21,2015,6
36,3.11,2015,5
37,2.94,2015,4
38,2.97,2015,3
39,3.07,2015,2
40,2.98,2015,1
41,3.15,2014,12
42,3.17,2014,11
43,3.13,2014,10
44,3.36,2014,9
45,3.25,2014,8
46,3.23,2014,7
47,3.22,2014,6
48,3.21,2014,5
49,3.39,2014,4
50,3.42,2014,3
51,3.39,2014,2
52,3.4,2014,1
53,3.52,2013,12
54,3.3,2013,11
55,3.2,2013,10
56,3.37,2013,9
57,3.54,2013,8
58,3.39,2013,7
59,3.5,2013,6
60,2.98,2013,5
61,2.61,2013,4
62,2.76,2013,3
63,2.76,2013,2
64,2.81,2013,1
65,2.65,2012,12
66,2.64,2012,11
67,2.72,2012,10
68,2.73,2012,9
69,2.86,2012,8
70,2.8,2012,7
71,2.94,2012,6
72,2.97,2012,5
73,3.12,2012,4
74,3.23,2012,3
75,3.19,2012,2
76,3.24,2012,1
77,3.24,2011,12
78,3.3,2011,11
79,3.38,2011,10
80,3.28,2011,9
81,3.44,2011,8
82,3.66,2011,7
83,3.69,2011,6
84,3.78,2011,5
85,3.97,2011,4
86,4.09,2011,3
87,4.22,2011,2
88,4.09,2011,1
89,4.2,2010,12
90,3.77,2010,11
91,3.66,2010,10
92,3.75,2010,9
93,3.86,2010,8
94,4.0,2010,7
95,4.13,2010,6
96,4.21,2010,5
97,4.39,2010,4
98,4.34,2010,3
99,4.4,2010,2
100,4.39,2010,1
101,4.54,2009,12
102,4.29,2009,11
103,4.46,2009,10
104,4.46,2009,9
105,4.58,2009,8
106,4.69,2009,7
107,4.87,2009,6
108,4.53,2009,5
109,4.48,2009,4
110,4.58,2009,3
111,4.68,2009,2
112,4.8,2009,1
113,4.83,2008,12
114,5.74,2008,11
115,6.19,2008,10
116,5.77,2008,9
117,5.93,2008,8
118,6.07,2008,7
119,6.04,2008,6
120,5.66,2008,5
121,5.62,2008,4
122,5.34,2008,3
123,5.72,2008,2
124,5.17,2008,1
125,5.79,2007,12
126,5.73,2007,11
127,5.99,2007,10
128,6.09,2007,9
129,6.12,2007,8
130,6.37,2007,7
131,6.34,2007,6
132,6.12,2007,5
133,5.87,2007,4
134,5.86,2007,3
135,5.97,2007,2
136,5.98,2007,1
137,5.93,2006,12
138,5.87,2006,11
139,6.1,2006,10
140,5.98,2006,9
141,6.14,2006,8
142,6.34,2006,7
