,Zip Code,Lat,Lng,Bank Count,Liquor Store Count,Wal-Mart Count,Target Count,Starbucks Count
0,78701,30.2729209,-97.74438630000002,109,61,1,6,29
1,78702,30.2603535,-97.7145152,79,54,15,2,24
2,78703,30.2915328,-97.76883579999999,110,46,1,2,22
3,78704,30.24567279999999,-97.76883579999999,95,52,17,4,27
4,78705,30.2961708,-97.73895429999999,108,54,14,4,23
5,78717,30.4916577,-97.7742702,27,12,20,7,10
6,78721,30.2737366,-97.68194299999999,13,18,0,2,5
7,78722,30.2920434,-97.7118003,98,50,1,4,22
8,78723,30.3081307,-97.68194299999999,22,24,13,3,3
9,78724,30.2944269,-97.6222665,0,2,0,1,0
10,78725,30.2316673,-97.6168439,0,3,1,0,0
11,78726,30.4190616,-97.8395151,13,3,1,1,5
12,78727,30.432242,-97.7145152,50,17,14,3,9
13,78728,30.4570672,-97.68194299999999,30,14,27,2,6
14,78729,30.4646593,-97.7471025,30,10,11,4,4
15,78730,30.3732514,-97.8395151,17,2,1,1,3
16,78731,30.3542409,-97.7742702,40,17,10,3,8
17,78732,30.3788578,-97.8923749,10,5,1,1,3
18,78733,30.33151879999999,-97.86671820000001,3,0,1,0,1
19,78734,30.3666665,-97.9483898,23,5,1,0,2
20,78735,30.2573497,-97.86127669999999,25,6,12,2,6
21,78736,30.25208559999999,-97.9483898,2,1,0,0,0
22,78737,30.18196499999999,-97.9701846,2,4,0,0,0
23,78738,30.2966026,-97.9701846,20,4,1,2,3
24,78739,30.1859258,-97.90482,3,3,1,0,1
25,78741,30.2259488,-97.7145152,25,24,15,0,14
26,78744,30.196311,-97.730807,13,12,14,0,3
27,78745,30.2153869,-97.7960118,33,22,26,4,13
28,78746,30.2962208,-97.8299383,27,8,1,0,4
29,78747,30.1274614,-97.730807,0,0,0,0,0
30,78748,30.168207,-97.8177601,17,14,11,6,4
31,78749,30.2175453,-97.8558357,26,13,12,2,8
32,78750,30.4270699,-97.8014482,25,8,10,1,6
33,78751,30.3055711,-97.725376,104,56,14,5,22
34,78752,30.3317278,-97.70515800000001,56,36,23,5,9
35,78753,30.3889868,-97.6710889,38,10,14,3,4
36,78754,30.3558863,-97.64938579999999,13,9,13,0,1
37,78756,30.3248256,-97.73895429999999,77,39,23,7,14
38,78757,30.3568213,-97.730807,70,34,23,8,8
39,78758,30.3870686,-97.70365609999999,77,27,24,6,11
40,78759,30.401356,-97.7525352,53,22,1,5,11
