,gsId,name,type,gradeRange,enrollment,city,state,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,parentRating,districtId,district,districtNCESId,gsRating
0,25212,4Points Academy,private,1-9,6,Austin,TX,"5145 Ranch Road 620 North, 
Austin, TX  78732",(512) 991-7950,,WWW.4POINTSACADEMY.COM,,30.389547,-97.88448,https://www.greatschools.org/texas/austin/25212-4Points-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=25212&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=25212&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/25212,,,,,
1,11998,ACE Academy,private,PK-8,140,Austin,TX,"3901 Shoal Creek Boulevard, 
Austin, TX  78756",(512) 206-4070,(512) 532-6188,http://www.AustinGifted.org,A0790159,30.308155,-97.74721,https://www.greatschools.org/texas/austin/11998-ACE-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=11998&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=11998&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/11998,4,,,,
2,25177,AESA Prep Academy,private,4-12,100,Austin,TX,"14101 Canonade, 
Austin, TX  78737",(512) 774-4822,(512) 829-4921,http://www.aesaprepacademy.com,,30.199083,-98.00528,https://www.greatschools.org/texas/austin/25177-AESA-Prep-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=25177&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=25177&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/25177,,,,,
3,18793,AHB Community School,private,K-8,65,Austin,TX,"4001 Speedway Ave, 
Austin, TX  78751",(512) 299-5487,,,A0903480,30.30318,-97.73161,https://www.greatschools.org/texas/austin/18793-AHB-Community-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=18793&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=18793&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/18793,4,,,,
4,25183,Abrome,private,"K-8, 10-12",5,Austin,TX,"10201 Aqua Azul Ct, 
Austin, TX  78733",(512) 785-3767,,http://abrome.com/,,30.33515,-97.87648,https://www.greatschools.org/texas/austin/25183-Abrome/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=25183&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=25183&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/25183,,,,,
5,20103,Acton Academy,private,2-12,42,Austin,TX,"2201 Alexander Avenue, 
Austin, TX  78722",(512) 689-9822,,http://www.actonacademy.org/,,30.284405,-97.70996,https://www.greatschools.org/texas/austin/20103-Acton-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=20103&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=20103&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/20103,,,,,
6,24844,Adult Transition Services,public,12,40,Austin,TX,"1020 Walsh Tarlton Lane, 
Austin, TX  78746",(512) 732-9020,(512) 732-9029,,,30.272945,-97.802,https://www.greatschools.org/texas/austin/24844-Adult-Transition-Services/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=24844&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=24844&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/24844,,342,Eanes Independent School District,4817760,
7,9663,Akins High School,public,9-12,2667,Austin,TX,"10701 South 1st Street, 
Austin, TX  78748",(512) 841-9900,(512) 841-9903,http://austinisd.org/,480894008937,30.148985,-97.80186,https://www.greatschools.org/texas/austin/9663-Akins-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=9663&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=9663&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/9663,4,115,Austin Independent School District,4808940,4
8,597,Allan Elementary School,public,PK-5,,Austin,TX,"4900 Gonzales Street, 
Austin, TX  78702",(512) 414-2304,(512) 385-2512,,480894005394,30.255674,-97.69715,https://www.greatschools.org/texas/austin/597-Allan-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=597&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=597&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/597,4,115,Austin Independent School District,4808940,
9,519,Allison Elementary School,public,PK-6,487,Austin,TX,"515 Vargas Road, 
Austin, TX  78741",(512) 414-2004,(512) 385-0905,http://www.allisonelementary.com/,480894000291,30.235785,-97.69203,https://www.greatschools.org/texas/austin/519-Allison-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=519&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=519&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/519,3,115,Austin Independent School District,4808940,7
10,24802,Altamira Academy,charter,PK-4,320,Austin,TX,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",(512) 953-8301,(512) 842-9308,www.waysideschools.org/ama,,30.191423,-97.767136,https://www.greatschools.org/texas/austin/24802-Altamira-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=24802&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=24802&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/24802,,43,Wayside Schools,4800044,3
11,18841,Alternative Learning Center,public,6-12,166,Austin,TX,"900 Neal Street, 
Austin, TX  78702",(512) 414-2554,(512) 476-2809,http://aisdalc.org/,480894009076,30.268435,-97.71007,https://www.greatschools.org/texas/austin/18841-Alternative-Learning-Center/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=18841&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=18841&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/18841,5,115,Austin Independent School District,4808940,
12,520,Anderson High School,public,9-12,2224,Austin,TX,"8403 Mesa Drive, 
Austin, TX  78759",(512) 414-2538,(512) 338-1293,http://andersononline.org/,480894000292,30.37575,-97.75371,https://www.greatschools.org/texas/austin/520-Anderson-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=520&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=520&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/520,4,115,Austin Independent School District,4808940,8
13,5869,Anderson Mill Elementary School,public,PK-5,474,Austin,TX,"10610 Salt Mill Hollow, 
Austin, TX  78750",(512) 428-3700,(512) 428-3790,schools.roundrockisd.org/andersonmill/,483808004247,30.452835,-97.806854,https://www.greatschools.org/texas/austin/5869-Anderson-Mill-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=5869&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=5869&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/5869,3,870,Round Rock Independent School District,4838080,7
14,521,Andrews Elementary School,public,PK-6,657,Austin,TX,"6801 Northeast Drive, 
Austin, TX  78723",(512) 414-1770,(512) 926-6635,http://archive.austinisd.org/schools/details.phtml?id=043,480894000293,30.317554,-97.679665,https://www.greatschools.org/texas/austin/521-Andrews-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=521&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=521&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/521,4,115,Austin Independent School District,4808940,4
15,24723,Athlos Leadership Academy- Austin,charter,PK-9,,Austin,TX,"3711 Shoreline Drive, 
Austin, TX  78728",(512) 872-8400,,http://www.athlosaustin.org/,480017912987,30.457558,-97.688,https://www.greatschools.org/texas/austin/24723-Athlos-Leadership-Academy--Austin/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=24723&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=24723&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/24723,,1262,Jubilee Academic Center,4800179,
16,20403,Austin Achieve Public Schools,charter,6-12,671,Austin,TX,"5908 Manor Road, 
Austin, TX  78723",(512) 522-4190,(512) 727-3788,www.austinachieve.org,,30.307661,-97.680504,https://www.greatschools.org/texas/austin/20403-Austin-Achieve-Public-Schools/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=20403&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=20403&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/20403,4,1392,Austin Achieve Public Schools,4801431,4
17,24327,Austin Children's Montessori,private,PK-1,40,Austin,TX,"8807 Manchaca Road, 
Austin, TX  78748",(512) 291-5522,,http://montessoriaustin.com/,A0771723,30.18366,-97.817055,https://www.greatschools.org/texas/austin/24327-Austin-Children's-Montessori/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=24327&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=24327&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/24327,3,,,,
18,19663,Austin City Academy,private,"K-3, 5-10, 12",,Austin,TX,"P.O. Box 92737, 
Austin, TX  78709",(512) 288-4883,,,A0702187,30.2669,-97.7428,https://www.greatschools.org/texas/austin/19663-Austin-City-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=19663&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=19663&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/19663,,,,,
