Year,Month,Number of Households,Median Income (dollars),Zip Code
2011,1,605,42009.0,73949
2011,2,605,42009.0,73949
2011,3,605,42009.0,73949
2011,4,605,42009.0,73949
2011,5,605,42009.0,73949
2011,6,605,42009.0,73949
2011,7,605,42009.0,73949
2011,8,605,42009.0,73949
2011,9,605,42009.0,73949
2011,10,605,42009.0,73949
2011,11,605,42009.0,73949
2011,12,605,42009.0,73949
2012,1,602,42339.25,73949
2012,2,599,42669.5,73949
2012,3,597,42999.75,73949
2012,4,594,43330.0,73949
2012,5,591,43660.25,73949
2012,6,589,43990.5,73949
2012,7,586,44320.75,73949
2012,8,583,44651.0,73949
2012,9,581,44981.25,73949
2012,10,578,45311.5,73949
2012,11,575,45641.75,73949
2012,12,573,45972.0,73949
2013,1,573,46132.5,73949
2013,2,573,46293.0,73949
2013,3,573,46453.5,73949
2013,4,573,46614.0,73949
2013,5,573,46774.5,73949
2013,6,574,46935.0,73949
2013,7,574,47095.5,73949
2013,8,574,47256.0,73949
2013,9,574,47416.5,73949
2013,10,574,47577.0,73949
2013,11,574,47737.5,73949
2013,12,575,47898.0,73949
2014,1,573,47785.5,73949
2014,2,572,47673.0,73949
2014,3,571,47560.5,73949
2014,4,570,47448.0,73949
2014,5,569,47335.5,73949
2014,6,568,47223.0,73949
2014,7,567,47110.5,73949
2014,8,566,46998.0,73949
2014,9,565,46885.5,73949
2014,10,564,46773.0,73949
2014,11,563,46660.5,73949
2014,12,562,46548.0,73949
2015,1,560,46867.75,73949
2015,2,559,47187.5,73949
2015,3,558,47507.25,73949
2015,4,557,47827.0,73949
2015,5,556,48146.75,73949
2015,6,555,48466.5,73949
2015,7,553,48786.25,73949
2015,8,552,49106.0,73949
2015,9,551,49425.75,73949
2015,10,550,49745.5,73949
2015,11,549,50065.25,73949
2015,12,548,50385.0,73949
2016,1,546,50130.416666666664,73949
2016,2,545,49875.833333333336,73949
2016,3,544,49621.25,73949
2016,4,543,49366.666666666664,73949
2016,5,541,49112.083333333336,73949
2016,6,540,48857.5,73949
2016,7,539,48602.916666666664,73949
2016,8,538,48348.333333333336,73949
2016,9,536,48093.75,73949
2016,10,535,47839.166666666664,73949
2016,11,534,47584.583333333336,73949
2016,12,533,47330.0,73949
2011,1,6607,55874.0,75001
2011,2,6607,55874.0,75001
2011,3,6607,55874.0,75001
2011,4,6607,55874.0,75001
2011,5,6607,55874.0,75001
2011,6,6607,55874.0,75001
2011,7,6607,55874.0,75001
2011,8,6607,55874.0,75001
2011,9,6607,55874.0,75001
2011,10,6607,55874.0,75001
2011,11,6607,55874.0,75001
2011,12,6607,55874.0,75001
2012,1,6639,55872.416666666664,75001
2012,2,6672,55870.833333333336,75001
2012,3,6705,55869.25,75001
2012,4,6738,55867.666666666664,75001
2012,5,6771,55866.083333333336,75001
2012,6,6804,55864.5,75001
2012,7,6836,55862.916666666664,75001
2012,8,6869,55861.333333333336,75001
2012,9,6902,55859.75,75001
2012,10,6935,55858.166666666664,75001
2012,11,6968,55856.583333333336,75001
2012,12,7001,55855.0,75001
2013,1,7032,56003.166666666664,75001
2013,2,7064,56151.333333333336,75001
2013,3,7095,56299.5,75001
2013,4,7127,56447.666666666664,75001
2013,5,7158,56595.833333333336,75001
2013,6,7190,56744.0,75001
2013,7,7221,56892.166666666664,75001
2013,8,7253,57040.333333333336,75001
2013,9,7284,57188.5,75001
2013,10,7316,57336.666666666664,75001
2013,11,7347,57484.833333333336,75001
2013,12,7379,57633.0,75001
2014,1,7422,57809.0,75001
2014,2,7466,57985.0,75001
2014,3,7510,58161.0,75001
2014,4,7554,58337.0,75001
2014,5,7598,58513.0,75001
2014,6,7642,58689.0,75001
2014,7,7686,58865.0,75001
2014,8,7730,59041.0,75001
2014,9,7774,59217.0,75001
2014,10,7818,59393.0,75001
2014,11,7862,59569.0,75001
2014,12,7906,59745.0,75001
2015,1,7916,60378.333333333336,75001
2015,2,7926,61011.666666666664,75001
2015,3,7936,61645.0,75001
2015,4,7946,62278.333333333336,75001
2015,5,7956,62911.666666666664,75001
2015,6,7966,63545.0,75001
2015,7,7976,64178.333333333336,75001
2015,8,7986,64811.666666666664,75001
2015,9,7996,65445.0,75001
