Value,test,year,month
152500,78701,1996,4
153600,78701,1996,5
154600,78701,1996,6
155500,78701,1996,7
156300,78701,1996,8
157300,78701,1996,9
158300,78701,1996,10
159300,78701,1996,11
160400,78701,1996,12
161900,78701,1997,1
163500,78701,1997,2
164800,78701,1997,3
166300,78701,1997,4
167700,78701,1997,5
169000,78701,1997,6
170200,78701,1997,7
171500,78701,1997,8
172900,78701,1997,9
174500,78701,1997,10
176100,78701,1997,11
178000,78701,1997,12
180200,78701,1998,1
182700,78701,1998,2
185000,78701,1998,3
187500,78701,1998,4
189800,78701,1998,5
191800,78701,1998,6
193700,78701,1998,7
195500,78701,1998,8
197300,78701,1998,9
199200,78701,1998,10
201100,78701,1998,11
203200,78701,1998,12
205600,78701,1999,1
208400,78701,1999,2
211100,78701,1999,3
214000,78701,1999,4
216800,78701,1999,5
219600,78701,1999,6
222300,78701,1999,7
224900,78701,1999,8
227700,78701,1999,9
230700,78701,1999,10
233400,78701,1999,11
236200,78701,1999,12
239300,78701,2000,1
242500,78701,2000,2
245200,78701,2000,3
247800,78701,2000,4
249800,78701,2000,5
251300,78701,2000,6
252200,78701,2000,7
252800,78701,2000,8
253100,78701,2000,9
253300,78701,2000,10
253300,78701,2000,11
253000,78701,2000,12
253100,78701,2001,1
253400,78701,2001,2
253500,78701,2001,3
253400,78701,2001,4
252800,78701,2001,5
251800,78701,2001,6
250400,78701,2001,7
248700,78701,2001,8
247100,78701,2001,9
245900,78701,2001,10
244500,78701,2001,11
243300,78701,2001,12
242600,78701,2002,1
242500,78701,2002,2
242500,78701,2002,3
242500,78701,2002,4
242200,78701,2002,5
241600,78701,2002,6
240600,78701,2002,7
239600,78701,2002,8
238800,78701,2002,9
237900,78701,2002,10
239500,78701,2002,11
242300,78701,2002,12
242800,78701,2003,1
240900,78701,2003,2
239600,78701,2003,3
239000,78701,2003,4
238700,78701,2003,5
238400,78701,2003,6
238100,78701,2003,7
237600,78701,2003,8
237200,78701,2003,9
237000,78701,2003,10
236500,78701,2003,11
235800,78701,2003,12
235300,78701,2004,1
234600,78701,2004,2
233400,78701,2004,3
232200,78701,2004,4
232400,78701,2004,5
234800,78701,2004,6
239300,78701,2004,7
244700,78701,2004,8
249800,78701,2004,9
254300,78701,2004,10
257600,78701,2004,11
260000,78701,2004,12
262200,78701,2005,1
264300,78701,2005,2
266400,78701,2005,3
268100,78701,2005,4
269000,78701,2005,5
269000,78701,2005,6
268200,78701,2005,7
267000,78701,2005,8
265800,78701,2005,9
264900,78701,2005,10
264100,78701,2005,11
263700,78701,2005,12
264600,78701,2006,1
266600,78701,2006,2
268600,78701,2006,3
270400,78701,2006,4
271700,78701,2006,5
272600,78701,2006,6
273000,78701,2006,7
273000,78701,2006,8
272900,78701,2006,9
272800,78701,2006,10
272800,78701,2006,11
272800,78701,2006,12
273200,78701,2007,1
273900,78701,2007,2
274800,78701,2007,3
276300,78701,2007,4
278400,78701,2007,5
281300,78701,2007,6
285500,78701,2007,7
290700,78701,2007,8
295400,78701,2007,9
298900,78701,2007,10
300300,78701,2007,11
299600,78701,2007,12
297800,78701,2008,1
295800,78701,2008,2
294200,78701,2008,3
292800,78701,2008,4
290900,78701,2008,5
288200,78701,2008,6
285700,78701,2008,7
283800,78701,2008,8
281900,78701,2008,9
280400,78701,2008,10
279300,78701,2008,11
278300,78701,2008,12
277300,78701,2009,1
276700,78701,2009,2
276400,78701,2009,3
275800,78701,2009,4
274900,78701,2009,5
272800,78701,2009,6
270000,78701,2009,7
267100,78701,2009,8
264500,78701,2009,9
262700,78701,2009,10
262200,78701,2009,11
262100,78701,2009,12
262100,78701,2010,1
262700,78701,2010,2
262600,78701,2010,3
261800,78701,2010,4
261200,78701,2010,5
260800,78701,2010,6
260200,78701,2010,7
260100,78701,2010,8
258800,78701,2010,9
256800,78701,2010,10
256900,78701,2010,11
258400,78701,2010,12
259100,78701,2011,1
258200,78701,2011,2
257700,78701,2011,3
257000,78701,2011,4
258600,78701,2011,5
262500,78701,2011,6
265600,78701,2011,7
265900,78701,2011,8
267300,78701,2011,9
268800,78701,2011,10
269000,78701,2011,11
268800,78701,2011,12
268700,78701,2012,1
269200,78701,2012,2
269800,78701,2012,3
268800,78701,2012,4
267000,78701,2012,5
267300,78701,2012,6
268700,78701,2012,7
270300,78701,2012,8
271900,78701,2012,9
273100,78701,2012,10
272600,78701,2012,11
274200,78701,2012,12
277900,78701,2013,1
282000,78701,2013,2
284800,78701,2013,3
288000,78701,2013,4
288000,78701,2013,5
285600,78701,2013,6
284400,78701,2013,7
285100,78701,2013,8
284400,78701,2013,9
285000,78701,2013,10
287700,78701,2013,11
290700,78701,2013,12
293400,78701,2014,1
292500,78701,2014,2
292300,78701,2014,3
298500,78701,2014,4
306500,78701,2014,5
311100,78701,2014,6
313700,78701,2014,7
316100,78701,2014,8
323800,78701,2014,9
336400,78701,2014,10
343200,78701,2014,11
342500,78701,2014,12
341900,78701,2015,1
344600,78701,2015,2
349900,78701,2015,3
356100,78701,2015,4
362700,78701,2015,5
367200,78701,2015,6
369900,78701,2015,7
371600,78701,2015,8
370700,78701,2015,9
367300,78701,2015,10
367200,78701,2015,11
370300,78701,2015,12
372800,78701,2016,1
375900,78701,2016,2
375300,78701,2016,3
369600,78701,2016,4
366400,78701,2016,5
370000,78701,2016,6
373400,78701,2016,7
373300,78701,2016,8
370000,78701,2016,9
366900,78701,2016,10
365800,78701,2016,11
366600,78701,2016,12
369000,78701,2017,1
372000,78701,2017,2
374900,78701,2017,3
377400,78701,2017,4
378900,78701,2017,5
378400,78701,2017,6
381000,78701,2017,7
388200,78701,2017,8
396000,78701,2017,9
400500,78701,2017,10
404400,78701,2017,11
407200,78701,2017,12
408700,78701,2018,1
411800,78701,2018,2
417300,78701,2018,3
420500,78701,2018,4
57800,78702,1996,4
58900,78702,1996,5
60300,78702,1996,6
61900,78702,1996,7
63600,78702,1996,8
65400,78702,1996,9
67400,78702,1996,10
69500,78702,1996,11
71700,78702,1996,12
73900,78702,1997,1
76100,78702,1997,2
78300,78702,1997,3
80700,78702,1997,4
83100,78702,1997,5
85500,78702,1997,6
88100,78702,1997,7
90900,78702,1997,8
94000,78702,1997,9
97500,78702,1997,10
101600,78702,1997,11
106100,78702,1997,12
110900,78702,1998,1
115600,78702,1998,2
120000,78702,1998,3
124100,78702,1998,4
127600,78702,1998,5
130300,78702,1998,6
132200,78702,1998,7
133100,78702,1998,8
133300,78702,1998,9
133000,78702,1998,10
132400,78702,1998,11
131700,78702,1998,12
131100,78702,1999,1
130900,78702,1999,2
131000,78702,1999,3
131700,78702,1999,4
132900,78702,1999,5
134800,78702,1999,6
137300,78702,1999,7
140500,78702,1999,8
144500,78702,1999,9
149200,78702,1999,10
154600,78702,1999,11
160800,78702,1999,12
167300,78702,2000,1
173700,78702,2000,2
179900,78702,2000,3
185900,78702,2000,4
191300,78702,2000,5
196000,78702,2000,6
200100,78702,2000,7
203500,78702,2000,8
206300,78702,2000,9
208900,78702,2000,10
211300,78702,2000,11
213500,78702,2000,12
215500,78702,2001,1
217200,78702,2001,2
218700,78702,2001,3
219800,78702,2001,4
220400,78702,2001,5
220200,78702,2001,6
219200,78702,2001,7
217400,78702,2001,8
215200,78702,2001,9
212600,78702,2001,10
210000,78702,2001,11
207300,78702,2001,12
204600,78702,2002,1
201900,78702,2002,2
199400,78702,2002,3
197000,78702,2002,4
194700,78702,2002,5
192400,78702,2002,6
190300,78702,2002,7
188400,78702,2002,8
186900,78702,2002,9
186000,78702,2002,10
185600,78702,2002,11
186200,78702,2002,12
188300,78702,2003,1
191300,78702,2003,2
194000,78702,2003,3
196500,78702,2003,4
198900,78702,2003,5
201700,78702,2003,6
204900,78702,2003,7
208200,78702,2003,8
210800,78702,2003,9
212100,78702,2003,10
211800,78702,2003,11
209900,78702,2003,12
207100,78702,2004,1
204000,78702,2004,2
200800,78702,2004,3
198000,78702,2004,4
196000,78702,2004,5
195000,78702,2004,6
194800,78702,2004,7
195200,78702,2004,8
196400,78702,2004,9
198000,78702,2004,10
199800,78702,2004,11
201700,78702,2004,12
203400,78702,2005,1
205000,78702,2005,2
206500,78702,2005,3
207700,78702,2005,4
208400,78702,2005,5
208400,78702,2005,6
207800,78702,2005,7
206700,78702,2005,8
205600,78702,2005,9
204900,78702,2005,10
204600,78702,2005,11
204600,78702,2005,12
204600,78702,2006,1
204600,78702,2006,2
204600,78702,2006,3
205000,78702,2006,4
206000,78702,2006,5
207600,78702,2006,6
209800,78702,2006,7
212200,78702,2006,8
214300,78702,2006,9
216100,78702,2006,10
217700,78702,2006,11
219400,78702,2006,12
221300,78702,2007,1
223000,78702,2007,2
224500,78702,2007,3
225700,78702,2007,4
226500,78702,2007,5
227200,78702,2007,6
228000,78702,2007,7
228800,78702,2007,8
229600,78702,2007,9
230100,78702,2007,10
230400,78702,2007,11
230500,78702,2007,12
230600,78702,2008,1
230500,78702,2008,2
230200,78702,2008,3
229900,78702,2008,4
229800,78702,2008,5
230000,78702,2008,6
230200,78702,2008,7
229900,78702,2008,8
229300,78702,2008,9
228900,78702,2008,10
228600,78702,2008,11
228600,78702,2008,12
228900,78702,2009,1
229200,78702,2009,2
229200,78702,2009,3
228800,78702,2009,4
228100,78702,2009,5
227600,78702,2009,6
227700,78702,2009,7
228000,78702,2009,8
228300,78702,2009,9
228500,78702,2009,10
228700,78702,2009,11
229100,78702,2009,12
227800,78702,2010,1
227600,78702,2010,2
227800,78702,2010,3
226800,78702,2010,4
224600,78702,2010,5
222500,78702,2010,6
218700,78702,2010,7
215100,78702,2010,8
212900,78702,2010,9
212000,78702,2010,10
211800,78702,2010,11
211300,78702,2010,12
211000,78702,2011,1
210300,78702,2011,2
211000,78702,2011,3
214800,78702,2011,4
219900,78702,2011,5
223000,78702,2011,6
224900,78702,2011,7
226600,78702,2011,8
228000,78702,2011,9
228700,78702,2011,10
228900,78702,2011,11
229000,78702,2011,12
229800,78702,2012,1
